title:2212 Archival Class
parent:scp-2212
[[code]]
Error...!!
Object classer wizard configuration file not found
Unable to find components that distinguish each of SAFE, EUCLID, KETER, THAUMIEL!

Outputting database dump...
S H H C R H R H L R L R E R H
H S S C C C R C A C H H C R E
H S R H H H H H L L C C H E L
S C C A I I H H T L A C E E L
R C R I I A M A A A L A E C E
S S R A L M M M A T A A C E E
S C R A R R T K K E E D A L E
I D D R R I E T T K K L D K E
U S D A I M M M T T T D K L L
U S D A D M D M U D U L D K E
I I S U D I D D T U D U U K L
U S U D U M I T M T U U K L K
S I I F U I M M T F F U F F K
S S S K I F M F F T T F K F F
U K F I F M K F T K T F E F E
[[/code]]
